,title
0, 23일 1592명 코로나19 확진…사망자 2명
1,교육청 전국도교육감협의회 총회 개최
2,국민의힘 당 스마트 물 산업 육성 정책토론회 개최
3,수도권 주택 가격 35% 거품…지방도 세종 60%· 23% 등
4, 미래융복합 교통인프라 구축 업무 협약 체결
5,앞장선  IB 교육 ‘전국 교육 이끈다’
6, 달서구 빌라 건물서 불…1명 부상·8명 대피
7,·경북 가끔 구름 많음…낮 23~28도
8,"""슈퍼카·튜닝카 보러 오세요""…24~25일 서 스트리트모터페스티벌"
9,"홍준표 장 尹 비속어 논란에 ""잘못 인정해야…계속 끌면 국민적 신뢰만..."
10, 1436명 신규 확진…사망자 8명 추가
11,전국도교육감협의회 서 총회…IB교육 확산 계기
12,[단독]  수돗물에서 나온 '연두색 물질' 녹조?
13, 2022 민생활체육대축전 개최
14,후배 성추행한 선배들 쉬쉬한 코치들...  고교 발칵
15, 이슬람사원 '공사 중지' 취소소송 대법서 최종 승소
16,코로나 신규 확진  1592명·경북 1648명
17, 26일부터 실외마스크 착용 자율 전환
18,"기후위기비상행동 ""범정부적 기후위기 대책 "" 촉구"
19, 제22회 국제식품산업전 개최
20,'돌싱글즈' 추성연 에 여자친구 생겼나…럽스타그램?[TEN★]
21, 아침 16도 낮 27도…큰 일교차 유의
22, 1592명·경북 1648명 확진…감소세 계속
23,의회 행정사무 감사 민제보상황실 운영
24,GS건설  '대명자이 그랜드티' 10월 분양
25,"이정선 광주교육감 옛 감옥터 참배 눈길…""역사 현장 교훈"""
26,홍준표 장 해프닝과 가십만 온통 나라 뒤덥어 나라 현실 안타까워
27,의회 행감 민제보상황실 운영
28,"'미분양 무덤' 에 이달 중 2300가구 신규 분양…""성공 장담 못해"""
29,‘2022 스트리트모터페스티벌’ 3년 만에 열려
30,·경북 25일 구름 많음··· 아침 최저 14도
31,깊어가는 가을…·경북 일교차 10도 이상
32, 골목상권 활성화 홍보 콘텐츠 공모
33,8개의 테마로 걷는 문학로드... 문학관광의 보고
34, 미래 융복합 첨단교통정보 서비스 촉진
35, 군부대 이전 본격화…홍 장 “국방부와 연내 MOU 목표”
36," 저소득 조손가정 조부모 대부분 ""10년 이상 손자녀 키웠다"""
37,국민 97% 코로나 항체 보유…'미진단 감염자'  19.3·경북 22.1%
38,[오늘의 날씨]·경북(24일토)…아침기온 뚝 일교차 10도 이상
39,대·영진전문대·계명문화대·가톨릭대 [대학소식]
40, 신성장 거점 '도심융합특구' 2년째 답보 상태
41, 아파트 매매가격 45주째 하락
42,전국교육감협의회 총회 서 개최…10개 안건 심의
43,전국도교육감협의회 서 제86회 총회 개최
44,"서 만난 홍준표-안철수…""비정상적 구조로 정부·여당 움직여"""
45, 자동차 검사장서 불…인명피해 없어
46,학부모단체 “퀴어행사 도로점용 강력 단속해야”
47, 1436명 신규 확진 사망 8명
48,"링크맨·정은주 ""2022 포크페스티벌' 출연"
49,행복진흥원 초대 원장 정순천 전 의원 내정
50,최근 5년 서 폭행당한 구급대원 48명
51,교육청 장애학생 대학생활 체험 프로그램 운영
52,밀양서 거리행진 펼치는 취타대
53,제19회 국제오페라축제 개막작 '투란도트' 리허설
54,자치경찰위 '세이프-홈 지원 사업' 확대 실
55,“오페라의 가을”…국제오페라축제 23일부터 58일간 개최
56,교통공사 '안전대전환' 취약설 집중안전점검
57,·경북 가끔 구름 많음…낮 23~25도
58, 남구 '고미술과 인사하기'
59,동산병원 찾은 안철수 “봉사 정신·해결력 갖춘 사람만 정치해야”
60,환경청 칠곡보·강정고령보 조류경보 '관심' 단계 발령
61,생탁 '국제식품산업전' 참가
62,코레일 경북 ESG경영 탄소중립 합동 캠페인
63,지검 불법 해외송금 가담한 우리은행 전 지점장 구속
64,서 음주 차량 분식점 돌진···7명 다쳐
65,‘코로나가 바꾼 식품 트렌드 한눈에’…국제식품산업전 개막
66,티웨이항공 외국인 승객에게 파워풀K팝콘서트 티켓
67,"홍준표 ""기득권 카르텔 깨는 것이  영광 재현"""
68,의회  산하 공공기관장 인사청문회 실
69,"""죽은 낙타 다른 동물 먹이로""… 동물원 운영자 집행유예"
70,오페라축제 58일간 대장정 돌입…개막작 '투란도트'
71," 노동단체 전국동다발 노동자대회 개최…""정부 노동 정책 규탄"""
72, 10가지 대표 음식 트롯으로 홍보한다
73,[] 비수도권 최대 규모 ' 국제식품산업전' 개최
74, 9월 26일부터 실외 마스크 착용 자율 전환
75, 수성구 등 조정대상지역 해제…세종 제외 비수도권 전역 규제 풀렸다
76,보이스피싱 피해액  896억·경북 1331억
77,가톨릭대 2022 DCU  리크루트 투어 '인기'
78,행복진흥원장에 정순천 전 의원 내정
79,지검 우리은행 본점 압수수색…‘수상한 외화 송금’ 수사
80,'마스크 야외착용 해제' 앞둔 24일 ·경북 3240명 확진
81,문화예술진흥원장 다 공모… 반쪽짜리 출범 불가피
82,“튜닝카·수퍼카를 한자리에서”…서 스트리트모터페스티벌
83, 대학생 학자금대출 부담경감 지원 사업 추진
84," 인권단체들 ""인권위원회 폐지 철회·인권보장 책무 다하라"""
85, 1828명 코로나19 확진…사망자 4명
86,[오늘의 날씨]·경북(23일 금)…낮 최고 28도 동해안 강풍 주의
87,[기고] 현대인 삶에 대한 여섯 가지 춤의 스펙트럼 '2022 춤페스티벌'
88,·경북 대체로 맑음…낮 21~25도
89,'취업 잡고 인재 잡고'… 영진전문대 22~23일 '취업박람회'
90,"민주 당 ""홍준표 장 즉흥 정책 철저 감"""
91, 남구 제6회 공룡을 그려보자 사생대회 개최
92,클래식 발레의 정수…국립발레단 '백조의 호수' 29~30일 서 공연
93,'군위  편입안' 행안위 소위 상정 불발
94,이정선 광주교육감 옛 감옥터 참배 눈길
95, 중구지역자활센터 전국 지역자활센터 성과평가서 우수기관 선정
96,국민의힘 당 스마트 물산업 육성 방안 정책토론회 개최
97,[i동네방네]는 젊은이 축제중
98,인사말 하는 홍준표 장
99, 수성못 축제 사흘간 열려
100,서 음주 차량 분식점 돌진···7명 다쳐
101,‘코로나가 바꾼 식품 트렌드 한눈에’…국제식품산업전 개막
102,티웨이항공 외국인 승객에게 파워풀K팝콘서트 티켓
103,"홍준표 ""기득권 카르텔 깨는 것이  영광 재현"""
104,국제식품산업전 오는 22일 개막
105,"""죽은 낙타 다른 동물 먹이로""… 동물원 운영자 집행유예"
106,의회  산하 공공기관장 인사청문회 실
107,오페라축제 58일간 대장정 돌입…개막작 '투란도트'
108," 노동단체 전국동다발 노동자대회 개최…""정부 노동 정책 규탄"""
109, 10가지 대표 음식 트롯으로 홍보한다
110,[] 비수도권 최대 규모 ' 국제식품산업전' 개최
111,정은주-링크맨 2022 포크페스티벌 출연
112,정순천 전 의원 행복진흥원 초대 원장 내정
113, 9월 26일부터 실외 마스크 착용 자율 전환
114,오페라축제 개막…개막작 ‘투란도트’
115," 기후위기 비상행동 ""기후정의 행동 작할 것"""
116, 수성구 등 조정대상지역 해제…세종 제외 비수도권 전역 규제 풀렸다
117,보이스피싱 피해액  896억·경북 1331억
118,가톨릭대 2022 DCU  리크루트 투어 '인기'
119,행복진흥원장에 정순천 전 의원 내정
120,지검 우리은행 본점 압수수색…‘수상한 외화 송금’ 수사
121,'마스크 야외착용 해제' 앞둔 24일 ·경북 3240명 확진
122,문화예술진흥원장 다 공모… 반쪽짜리 출범 불가피
123,“튜닝카·수퍼카를 한자리에서”…서 스트리트모터페스티벌
124, 대학생 학자금대출 부담경감 지원 사업 추진
125," 인권단체들 ""인권위원회 폐지 철회·인권보장 책무 다하라"""
126,서 음주운전 수입 승용차 분식점 돌진…7명 부상
127, 1828명 코로나19 확진…사망자 4명
128,교육청 장애학생 진로 설계
129,[오늘의 날씨]·경북(23일 금)…낮 최고 28도 동해안 강풍 주의
130,[기고] 현대인 삶에 대한 여섯 가지 춤의 스펙트럼 '2022 춤페스티벌'
131,오페라축제 개막…개막작 ‘투란도트’
132,전국교육감협의회 총회 22일 서 개최…10개 안건 심의
133,·경북 대체로 맑음…낮 21~25도
