썸네일,보도 일자,언론사,기사 제목,URL,기사내용,카테고리
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F24%2F11437595.jpg&type=ff264_180&expire=2&refresh=true,16시간 전,뉴시스 ,"대구, 23일 1592명 코로나19 확진…사망자 2명",http://www.newsis.com/view/?id=NISX20220924_0002025166&cID=10810&pID=10800, 대구지역 코로나19 확진자 수가 1000명대를 기록했다. 24일 대구시 재난안전대책본부에 따르면 이날 0시 기준 대구시에서 발생한 코로나19 신규 확진자는 1592명(해외유입 8명 포함)이다. 누적 확진자는... ,코로나
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5293%2F2022%2F09%2F23%2F299715.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1일 전,CNB뉴스,"대구시교육청, 전국시도교육감협의회 총회 개최",https://www.cnbnews.com/news/article.html?no=565795, 대구시교육청은 지난 22일 제86회 전국시도교육감협의회 총회를 개최했다고 밝혔다.... 긴급히 대구시교육청에서 주관하기로 했다. 이에 전국 시·도교육청에서는 시도교육감협의회 총회와는 별개로 이날 2일차 IB학교... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F09%2F23%2F13459286.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1일 전,연합뉴스,"국민의힘 대구시당, 스마트 물 산업 육성 정책토론회 개최",https://www.yna.co.kr/view/AKR20220923126600053?input=1195m," 국민의힘 대구시당이 주최하는 첫 정책토론회가 23일 물 관련 산업단지인 대구 달성군 국가물산업클러스터 글로벌비즈니스센터에서 열렸다. '스마트 물 산업 육성방안'을 주제로 한 이날 행사에는 한국환경공단, 물 산업... ",IT과학
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F088%2F2022%2F09%2F23%2F776319.jpg&type=ff264_180&expire=2&refresh=true,1일 전,매일신문 ,수도권 주택 가격 35% 거품…지방도 세종 60%·대구 23% 등,https://news.imaeil.com/page/view/2022092308335517787," 지방 중에서는 세종(60%), 광주(39%), 부산(31%), 대구(23%) 등은 거품 비율이 높은 수준인 것으로 나타났다. 이승석 한경연 부연구위원은 ""국토에 비해 인구밀도가 높은 한국의 여건상 평균 10∼15% 주택가격 거품이 있었지만... ",경제
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F079%2F2022%2F09%2F23%2F3688562.jpg&type=ff264_180&expire=2&refresh=true,1일 전,노컷뉴스,대구시 미래융복합 교통인프라 구축 업무 협약 체결,https://www.nocutnews.co.kr/news/5822205," 대구시는 도로교통공단, 3개 광역자치단체(인천, 광주, 울산), 3개 민간기업(아이나비, 카카오모빌리티... 대구시가 전국 최초로 추진한 센터방식의 실시간 교통신호정보 개방 사업은 지난 3월부터 대구국가산단을... ",사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F629%2F2022%2F09%2F23%2F174369.jpg&type=ff264_180&expire=2&refresh=true,1일 전,더팩트,앞장선 대구 IB 교육 ‘전국 교육 이끈다’,http://news.tf.co.kr/read/national/1967210.htm," 조희연 서울시교육감 ""아이들 사고력 교육에 IB 교육이 굉장한 디딤돌이 될 것"" 전국의 시도교육감들이 대구의 IB교육을 살펴보기 위해 대구를 방문했다. 전국시도교육감협의회는 이번 제86회 전국시도교육감협의회... ",정치
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F022%2F2022%2F09%2F22%2F3737099.jpg&type=ff264_180&expire=2&refresh=true,2일 전,세계일보 ,대구 달서구 빌라 건물서 불…1명 부상·8명 대피,http://www.segye.com/content/html/2022/09/22/20220922508133.html?OutUrl=naver, 대구 달서구의 한 빌라에서 원인이 밝혀지지 않은 불이 나 주민들이 대피하는 소동이 벌어졌다. 22일 대구 달서소방서에 따르면 이날 오전 8시 13분쯤 대구 달서구 송현동 한 원룸 빌라 3층에서 불이 나16분만에 꺼졌다.... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F23%2F11435178.jpg&type=ff264_180&expire=2&refresh=true,1일 전,뉴시스,대구·경북 가끔 구름 많음…낮 23~28도,http://www.newsis.com/view/?id=NISX20220923_0002023680&cID=10810&pID=10800, 대구와 경북은 가끔 구름 많은 날씨가 예상된다. 23일 대구지방기상청에 따르면 이날 대구·경북은 중국 북부지방에서 남쪽으로 이동하는 고기압 가장자리에 들겠다. 낮 최고기온은 23~28도의 분포로 평년(23~25도)보다... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2022%2F09%2F22%2F6348964.jpg&type=ff264_180&expire=2&refresh=true,2일 전,뉴스1,"""슈퍼카·튜닝카 보러 오세요""…24~25일 대구서 스트리트모터페스티벌",https://www.news1.kr/articles/4810348, 대구스트리트모터페스티벌(이하 모터페스티벌)이 오는 24~25일 중구 남산동 자동차부속골목에서 열린다. 22일 대구시에 따르면 자동차부품골목 상인회가 주최하고 대구시와 중구청이 후원하는 모터페스티벌은 '새로운... ,사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5307%2F2022%2F09%2F24%2F345566.jpg&type=ff264_180&expire=2&refresh=true,6시간 전,일요신문,"홍준표 대구시장, 尹 비속어 논란에 ""잘못 인정해야…계속 끌면 국민적 신뢰만...",https://ilyo.co.kr/?ac=article_view&entry_id=437261," ""사건이 일어났을 때는 언제나 정면 돌파를 해야지요."" 홍준표 대구시장은 24일 자신의 페이스북에 올린... 미 의회를 겨냥한 것이 아니라 ""우리 국회 야당에 대한 우려를 언급한 것""이라고 해명했다. 최창현 대구/경북 기자 ",정치
